날짜,시간,고가,저가,종가,종가 단순 5,10,20,"MACD Oscillator 12,26,9",MACD,시그널
2020-04-13,15:19:00,7530,7515,7525,7519,7507,7497.5,2.309018465,13.78364016,11.4746217
2020-04-13,15:18:00,7520,7505,7520,7517,7503.5,7496.25,2.212613618,13.1099807,10.89736708
2020-04-13,15:17:00,7520,7515,7520,7514,7499.5,7495.75,2.22433286,12.56854654,10.34421368
2020-04-13,15:16:00,7520,7505,7520,7507,7495.5,7494.75,1.906533976,11.69466444,9.788130462
2020-04-13,15:15:00,7515,7510,7510,7499,7490.5,7493.5,1.097671928,10.4091689,9.311496968
2020-04-13,15:14:00,7515,7500,7515,7495,7486,7492,0.598105869,9.635184856,9.037078986
